,Name,University,Sport,Sponsors,Number_Sponsors,Instagram,Twitter,Conference,Insta_dummy,Twitter_dummy,group
34,Marcus Bagley,Arizona State University,Basketball,Outback Steakhouse,1,marcus,,Pac-12,1,0,0
35,Colin Castleton,University of Florida,Basketball,[],0,,,Southeastern Conference,0,0,0
36,Rachel Heck,Stanford University,Golf,"['PING Golf', 'Stifel']",2,_rachelheck_,,Pac-12,1,0,0
37,RayQuawndis Mitchell,University of Illinois at Chicago,Basketball,Barstool Sports,1,RayQuawndis,@rayquawndis,Non Power Five Conference,1,1,1
38,Shedeur Sanders,Jackson State University,Football,"['Beats by Dre', 'Gatorade']",2,shedeursanders,@ShedeurSanders,Non Power Five Conference,1,1,1
39,Quan Lee,University of Central Florida,Football,"['JS2 Cattle Company', 'Travous Dever', 'Your Brand Voice']",3,,,Non Power Five Conference,0,0,1
40,Hercy Miller,Tennessee State University,Basketball,Web Apps America,1,,,Non Power Five Conference,0,0,1
41,Jordan Bohannon,University of Iowa,Basketball,Iowa Boomin Fireworks,1,,,Big 10,0,0,0
42,Lexi Sun,University of Nebraska - Lincoln,Volleyball,REN athletics,1,,,Big 10,0,0,0
43,Connor McCaffery,University of Iowa,Basketball,Barstool Sports,1,Connor_m30,@connor_m30,Big 10,1,1,0
44,Brian Maurer,University of Tennessee,Football,"['Barstool Sports', 'Metro Straw']",2,brianmaurer18,@maurerera_2,Southeastern Conference,1,1,0
45,Isaiah Cottrell,West Virginia University,Basketball,Barstool Sports,1,isaiah.cottrell,@IsaiahCottrell,Big 12,1,1,0
46,Jaydin Eierman,University of Iowa,Wrestling,Barstool Sports,1,jeierman65kg,@JEierman65kg,Big 10,1,1,0
47,Devin Folser,Mercer University,Football,"['Barstool Sports', 'Barstool Sports']",2,DevinFolser,@DevinFolser,Non Power Five Conference,1,1,1
48,Tali Popinko,Temple University,Field Hockey,Barstool Sports,1,talipopinko,@talipopinko,Non Power Five Conference,1,1,1
49,Jalen Bridges,West Virginia University,Basketball,Barstool Sports,1,bigbucketjb,@jalenbridgess,Big 12,1,1,0
50,Justin Allone,Seton Hall University,Cross Country,Barstool Sports,1,justin_allone,@justin_allone,Non Power Five Conference,1,1,1
51,Ross Reiter,Colorado State University,Football,Barstool Sports,1,rreiter50,@reiterr50,Non Power Five Conference,1,1,1
52,Owen Lindmark,University of Wisconsin - Madison,Ice Hockey,Barstool Sports,1,owenlindmark,@owenlindmark,Big 10,1,1,0
53,Andra Espinoza-Hunter,Seton Hall University,Basketball,Barstool Sports,1,andra.espinozaespinozahunter,@andra_ehunter,Non Power Five Conference,1,1,1
54,Avery Drake,Houston Baptist University,Softball,Barstool Sports,1,avery.drake,@averymdrake,Non Power Five Conference,1,1,1
55,Jacoby Boykins,University of Alabama,Football,Barstool Sports,1,jacobyboykins,@jexgohard,Southeastern Conference,1,1,0
56,D'vonte Price,Florida International University,Football,Barstool Sports,1,dvonteprice24,@dre_izzle_24,Non Power Five Conference,1,1,1
57,Amari Gainer,Florida State University,Football,Barstool Sports,1,Rari33_,@Amarigainer,Atlantic Coast Conference,1,1,0
58,Will Levis,University of Kentucky,Football,Barstool Sports,1,w.lev,@will_levis,Southeastern Conference,1,1,0
59,Cam Thompson,Purdue University,Baseball,Barstool Sports,1,Cameront4,@Cameront4224,Big 10,1,1,0
60,Gable Steveson,University of Minnesota,Wrestling,Barstool Sports,1,GableSteveson,@GableSteveson,Big 10,1,1,0
61,Colby Jones,Xavier University,Basketball,Barstool Sports,1,Kovajones,@Kovajoness,Non Power Five Conference,1,1,1
62,Brennan Canada,University of Kentucky,Basketball,Barstool Sports,1,brennanc14,@brennanc14,Southeastern Conference,1,1,0
63,Spencer Webb,University of Oregon,Football,Barstool Sports,1,Sp1derw8bb,@Spencer_webb_18,Pac-12,1,1,0
64,Jasmine Sievers,University of Oregon,Softball,Barstool Sports,1,jassievers,@jassievers,Pac-12,1,1,0
65,Alex O'Connell,Creighton University,Basketball,Barstool Sports,1,alex_oc15,@Alex_OC11,Non Power Five Conference,1,1,1
66,Tae-Vheon Alcorn,University of Kansas,Track and Field,Barstool Sports,1,taevheon,@taevheon,Big 12,1,1,0
67,Canon Claycomb,University of Alabama,Golf,Barstool Sports,1,Canonclaycomb,@golfball01,Southeastern Conference,1,1,0
68,Bryce Frederick,Towson University,Baseball,Barstool Sports,1,bafreddy26,@BFreddy14,Non Power Five Conference,1,1,1
69,Alana Walker,Northwestern University,Volleyball,Barstool Sports,1,alanawalker14,,Big 10,1,0,0
70,Sydney Parrish,University of Oregon,Basketball,Barstool Sports,1,sydney_parrishh,,Pac-12,1,0,0
71,Christian Geddes,Iona College,Soccer,Barstool Sports,1,christian_geddes14,,Non Power Five Conference,1,0,1
72,Madison Jurgens,University of South Dakota,Volleyball,Barstool Sports,1,mjurgens14,@mjurgens14,Non Power Five Conference,1,1,1
73,Drew Durst,Stephen F. Austin State University,Baseball,"['Barstool Sports', 'Rhoback']",2,durst_drew,@durst_drew,Non Power Five Conference,1,1,1
74,Will Reichard,University of Alabama,Football,Barstool Sports,1,willreichard16,@WillReichard,Southeastern Conference,1,1,0
75,Skylar Smith,Santa Clara University,Soccer,Barstool Sports,1,skylar__smith,@sky__smith,Non Power Five Conference,1,1,1
76,Segun Afolabi,University of South Florida,Soccer,Barstool Sports,1,king.segun,@KingSegun11,Non Power Five Conference,1,1,1
77,Benjamin Schwartz,Cornell University,Golf,Barstool Sports,1,ben_schwartz14,@benlschwartz14,Non Power Five Conference,1,1,1
78,Jacolbe Cowan,The Ohio State University,Football,Barstool Sports,1,jacolbec12,@JacolbeC12,Big 10,1,1,0
79,Matt Torres,Fairfield University,Swimming and Diving,Barstool Sports,1,realmatttorres,,Non Power Five Conference,1,0,1
80,McKenzie Bump,The Ohio State University,Softball,Barstool Sports,1,zbump7,@Bump7Bump,Big 10,1,1,0
81,Omar Manning,University of Nebraska - Lincoln,Football,PSD Underwear,1,theomarmanning,@TheOmarManning,Big 10,1,1,0
82,Dakereon Joyner,University of South Carolina,Football,PSD Underwear,1,kereonjoyner,,Southeastern Conference,1,0,0
83,Christopher Allen,University of Alabama,Football,"['PSD Underwear', 'Yoke Gaming']",2,,,Southeastern Conference,0,0,0
84,CJ Dippre,"University of Maryland, College Park",Football,Barstool Sports,1,Cj_dippre18,@CjDippre,Big 10,1,1,0
85,Fabiola Declet,Florida International University,Cross Country,Barstool Sports,1,fdeclet_,@declet_f,Non Power Five Conference,1,1,1
86,Madison Harms,University of South Dakota,Volleyball,Barstool Sports,1,madison.harms,@madison_harms,Non Power Five Conference,1,1,1
87,Matthew Cleveland,Florida State University,Basketball,Yoke Gaming,1,mcleve35,,Atlantic Coast Conference,1,0,0
88,Javion Cohen,University of Alabama,Football,"['Barstool Sports', 'Yoke Gaming']",2,cnoivaj,@cnoivaj,Southeastern Conference,1,1,0
89,LaTrell Bumphus,University of Tennessee,Football,Yoke Gaming,1,latrell_bumphus,@LBumphus,Southeastern Conference,1,1,0
90,Theo Jackson,University of Tennessee,Football,Yoke Gaming,1,theojackson26,@theo_jackson05,Southeastern Conference,1,1,0
91,Dariauna Lewis,Alabama Agricultural and Mechanical University,Basketball,Barstool Sports,1,theofficialstretch,@Dariauna1,Non Power Five Conference,1,1,1
92,Tia Dorshorst,University of Wisconsin - Madison,Track and Field,Barstool Sports,1,tiadorshorst,,Big 10,1,0,0
93,Morgan Pankow,University of Miami,Golf,Barstool Sports,1,morgan.pankow,@morganp_11,Atlantic Coast Conference,1,1,0
94,Luke Olson,University of South Dakota,Track and Field,Barstool Sports,1,lukeolson12,@olsonluke52,Non Power Five Conference,1,1,1
95,Maddy Siegrist,Villanova University,Basketball,"['Barstool Sports', 'Outback Steakhouse']",2,maddys20,@20sMaddy,Non Power Five Conference,1,1,1
96,Natalie Smith,San Diego State University,Volleyball,Barstool Sports,1,nataliemaesmith,@natalieeee_1,Non Power Five Conference,1,1,1
97,Jaden Pask,Davidson College,Football,Barstool Sports,1,jpask_2,@Jpask00,Non Power Five Conference,1,1,1
98,Evan Russell,University of Tennessee,Baseball,Barstool Sports,1,evanrussell4,@EvanRussell_4,Southeastern Conference,1,1,0
99,Jake Lynch,Stanford University,Football,Barstool Sports,1,jake_lynch10,@jake_lynch7,Pac-12,1,1,0
100,Christian Dicochea,University of Washington,Baseball,Barstool Sports,1,christiandicochea,@jdicochea1,Pac-12,1,1,0
101,Ali Gaye,Louisiana State University,Football,Barstool Sports,1,unos1_,@unos1_,Southeastern Conference,1,1,0
102,Justin Ademilola,University of Notre Dame,Football,Six Star Pro Nutrition,1,justinademilola,,Atlantic Coast Conference,1,0,0
103,Jayson Ademilola,University of Notre Dame,Football,Six Star Pro Nutrition,1,jaysonademilola,,Atlantic Coast Conference,1,0,0
104,D.J. Uiagalelei,Clemson University,Football,Bojangles,1,shaboidj,,Atlantic Coast Conference,1,0,0
105,Olivia Dunne,Louisiana State University,Gymnastics,[],0,livvydunne,@livvydunne,Southeastern Conference,1,1,0
106,Dontaie Allen,University of Kentucky,Basketball,[],0,dontaieallen11,@DontaieAllen11,Southeastern Conference,1,1,0
107,Drew Swinney,Clemson University,Football,Rhoback,1,dswinney5,,Atlantic Coast Conference,1,0,0
108,Will Swinney,Clemson University,Football,[],0,willswinney,,Atlantic Coast Conference,1,0,0
109,Aidan Hutchinson,University of Michigan,Football,PSD Underwear,1,aidanhutch97,@aidanhutch97,Big 10,1,1,0
110,E.J. Liddell,The Ohio State University,Basketball,[],0,ejliddell,@EasyE2432,Big 10,1,1,0
111,Justyn Ross,Clemson University,Football,[],0,jross.5,@_jross8,Atlantic Coast Conference,1,1,0
112,Isaiah Spiller,Texas A&M University,Football,Raising Canes,1,isaiahspiller28,@isaiah_spiller,Southeastern Conference,1,1,0
113,Josh Thompson,University of Texas at Austin,Football,[],0,_joshuat2,@_Joshuat9,Big 12,1,1,0
114,Keith Brown,University of Oregon,Football,"['PSD Underwear', 'SoHoodie']",2,keith_brown_,,Pac-12,1,0,0
115,Michael Trigg,University of Southern California,Football,SoHoodie,1,trigg.3,@mtrigg_23,Pac-12,1,1,0
116,Jackson Powers-Johnson,University of Oregon,Football,"['PSD Underwear', 'SoHoodie']",2,bigjax54,,Pac-12,1,0,0
117,Moliki Matavao,University of Oregon,Football,"['GOÂ² Football', 'SoHoodie']",2,moliki.i,@MatavaoMoliki,Pac-12,1,1,0
118,Breece Hall,Iowa State University,Football,GOÂ² Football,1,breecethebeast23,@BreeceH,Big 12,1,1,0
119,Carlos Del Rio-Wilson,University of Florida,Football,PSD Underwear,1,d1_carlos,@QBCarlosDelrio,Southeastern Conference,1,1,0
120,"Michael Johnson, Jr.",Florida Atlantic University,Football,[],0,mjohnsonjr1,@m_johnsonjr1,Non Power Five Conference,1,1,1
121,Patrick Callan,University of Michigan,Swimming and Diving,Rhoback,1,patrickcallan1,,Big 10,1,0,0
122,Alex Ross,University of Southern California,Golf,"['Barstool Sports', 'Rhoback']",2,alexross.57,,Pac-12,1,0,0
123,Tyler Baron,University of Tennessee,Football,Metro Straw,1,_tylerbaron,@Tylerbaron23,Southeastern Conference,1,1,0
124,Lauren Myrick,Mississippi State University,Volleyball,Barstool Sports,1,laurrenmyrick,@laurrenmyrick,Southeastern Conference,1,1,0
125,Jarrett Patterson,University of Notre Dame,Football,Barstool Sports,1,jpatt___,@jpattND,Atlantic Coast Conference,1,1,0
126,Jesse Vasquez,Utah State University,Football,Barstool Sports,1,jskez50,@Jessevasquez805,Non Power Five Conference,1,1,1
127,Jake Kyman,"University of California, Los Angeles",Basketball,Barstool Sports,1,jake_kyman,@jakekyman13,Pac-12,1,1,0
128,Sasha Stefanovic,Purdue University,Basketball,Barstool Sports,1,Stefanovicsasha,@Sash_Stefanovic,Big 10,1,1,0
129,Daniel Joseph,North Carolina State University,Football,Barstool Sports,1,_DanielJoseph_,@_danieljoseph_,Atlantic Coast Conference,1,1,0
130,Nevaeh DeSouza,"University of California, Berkeley",Gymnastics,Barstool Sports,1,nevydx28,@nevydx28,Pac-12,1,1,0
131,Luke Tenuta,Virginia Tech,Football,Barstool Sports,1,luke_tenuta,@luke_tenuta,Atlantic Coast Conference,1,1,0
132,Avery Spencer,Radford University,Baseball,Barstool Sports,1,ajspencer07,@averysp64334540,Non Power Five Conference,1,1,1
133,Meredith Fisher,University of Texas at Arlington,Volleyball,Barstool Sports,1,_meredithfisher,@meredithfish21,Non Power Five Conference,1,1,1
134,Isaiah Perry,Florida State University,Baseball,Barstool Sports,1,isaiah_perry6,@isaiah_perry2,Atlantic Coast Conference,1,1,0
135,Maya Green,"University of California, Berkeley",Gymnastics,Barstool Sports,1,mayagreenn,@mayagabb,Pac-12,1,1,0
136,Jaylon Griffin,University of Central Florida,Football,Barstool Sports,1,jaylon1griffin,@TheJG__,Non Power Five Conference,1,1,1
137,Julia Rabadam,University of Cincinnati,Golf,"['Barstool Sports', 'Go Puff']",2,juliarabadam,@juliarabadam,Non Power Five Conference,1,1,1
138,Brady Manek,University of North Carolina at Chapel Hill,Basketball,Barstool Sports,1,brady_manek,@BradyManek,Atlantic Coast Conference,1,1,0
139,Kathryn Wesolich,University of Central Florida,Volleyball,Barstool Sports,1,kathryn.wesolich,@kathrynw21,Non Power Five Conference,1,1,1
140,Matt Corral,University of Mississippi,Football,[],0,mattcorral2,,Southeastern Conference,1,0,0
141,Jake Schoffstall,Bradley University,Soccer,Barstool Sports,1,jake_schoff,@jakeschoff,Non Power Five Conference,1,1,1
142,Jimmy Boeheim,Syracuse University,Basketball,[],0,,,Atlantic Coast Conference,0,0,0
143,Amber Brewster,Iona College,Lacrosse,"['Barstool Sports', 'Barstool Sports']",2,amberbrewster_1,,Non Power Five Conference,1,0,1
144,Julian Reese,"University of Maryland, College Park",Basketball,Outback Steakhouse,1,shifty_ju,@reese10julian,Big 10,1,1,0
145,Donta Scott,"University of Maryland, College Park",Basketball,[],0,donta_4,,Big 10,1,0,0
146,Mia Isaac,"University of Maryland, College Park",Soccer,Barstool Sports,1,miaaa_10,@miaaisaac,Big 10,1,1,0
147,Mya Jackson,Seton Hall University,Basketball,"['Barstool Sports', 'Barstool Sports']",2,myaj_10,@myajack10,Non Power Five Conference,1,1,1
148,Bubba Bolden,University of Miami,Football,[],0,bubba.bolden,,Atlantic Coast Conference,1,0,0
149,Tyler Shough,Texas Tech University,Football,[],0,tylershough,@tylershough2,Big 12,1,1,0
150,Deja Kelly,University of North Carolina at Chapel Hill,Basketball,Outback Steakhouse,1,dejakelly,,Atlantic Coast Conference,1,0,0
151,Eriq Gilyard,University of Central Florida,Football,[],0,chosen1e,,Non Power Five Conference,1,0,1
152,Daniel McCullon,University of Central Florida,Football,Barstool Sports,1,idloading,@id1oading,Non Power Five Conference,1,1,1
153,Anna Henderson,University of Central Florida,Soccer,[],0,annahendy9,,Non Power Five Conference,1,0,1
154,LD Brown,Oklahoma State University - Stillwater,Football,[],0,ldeebrown_,,Big 12,1,0,0
155,Tay Martin,Oklahoma State University - Stillwater,Football,[],0,taymartin_1,,Big 12,1,0,0
156,Zach Middleton,Oklahoma State University - Stillwater,Football,Barstool Sports,1,zach_midd05,@zach_midd_5,Big 12,1,1,0
157,Tommy Lewis,Lehigh University,Football,Barstool Sports,1,tommylewis1,,Non Power Five Conference,1,0,1
158,Trent Frazier,University of Illinois at Urbana - Champaign,Basketball,[],0,trentfrazier,@trentfrazier,Big 10,1,1,0
159,Paige Kalkhoff,Florida International University,Beach Volleyball,Barstool Sports,1,paigekalkhoff,@paigekalkhoff,Non Power Five Conference,1,1,1
160,Johnny Juzang,"University of California, Los Angeles",Basketball,[],0,,,Pac-12,0,0,0
161,Naz Hillmon,University of Michigan,Basketball,Outback Steakhouse,1,naz_hillmon,,Big 10,1,0,0
162,Ty Fryfogle,Indiana University,Football,[],0,tyfry.3,@ty_fry3,Big 10,1,1,0
163,Trayce Jackson-Davis,Indiana University,Basketball,Pennzoil,1,trayce.jackson,@traycejackson,Big 10,1,1,0
164,Oliver Tipton,Davidson College,Wrestling,"['Celsius', 'Liquid I.V.']",2,,,Non Power Five Conference,0,0,1
165,Trelon Smith,University of Arkansas,Football,[],0,mbk_tre,,Southeastern Conference,1,0,0
166,Carson Ramos,Old Dominion University,Football,"['Barstool Sports', 'Liquid I.V.']",2,carrwilldoit,@Barson__,Non Power Five Conference,1,1,1
167,Braden Galloway,Clemson University,Football,[],0,bradengalloway,,Atlantic Coast Conference,1,0,0
168,Mike Jones Jr.,Louisiana State University,Football,[],0,mjones__6,@_mjones24,Southeastern Conference,1,1,0
169,Jack Betts,Amherst College,Football,LifeStyle Bands,1,,,Non Power Five Conference,0,0,1
170,Gibson Jimerson,Saint Louis University,Basketball,"['Barstool Sports', 'Barstool Sports']",2,Gibsonjimerson,@JimersonGibson,Non Power Five Conference,1,1,1
171,Trevor Keels,Duke University,Basketball,Outback Steakhouse,1,trevorkeels,,Atlantic Coast Conference,1,0,0
172,Paolo Banchero,Duke University,Basketball,Yahoo! Sports,1,paolo5,@Pp_doesit,Atlantic Coast Conference,1,1,0
173,Ra'Shaun Henry,University of Virginia,Football,Barstool Sports,1,rhenry2_,@rhenry2_,Atlantic Coast Conference,1,1,0
174,Trey Patterson,Villanova University,Basketball,Barstool Sports,1,treypatt3,@_treypatt3,Non Power Five Conference,1,1,1
175,Paige Bueckers,University of Connecticut,Basketball,"['Gatorade', 'StockX']",2,,,Non Power Five Conference,0,0,1
176,Sandra Elsadek,Ball State University,Gymnastics,"['Barstool Sports', 'Barstool Sports']",2,Sandra_Elsadek,@SandraElsadek,Non Power Five Conference,1,1,1
177,Jack Jones,Arizona State University,Football,[],0,presidentjacc,@presidentjacc,Pac-12,1,1,0
178,DeaMonte Trayanum,Arizona State University,Football,[],0,chipperrz_,,Pac-12,1,0,0
179,Dwight Allen,University of Georgia,Baseball,Barstool Sports,1,dwghtallen,@dwghtallen,Southeastern Conference,1,1,0
180,Matthew Boling,University of Georgia,Track and Field,[],0,,,Southeastern Conference,0,0,0
181,Mollie Belisle,University of Georgia,Soccer,Barstool Sports,1,molliebelisle,@MollieBelisle,Southeastern Conference,1,1,0
182,Evan McDonald,The Citadel,Track and Field,"['Barstool Sports', 'Barstool Sports']",2,demcd3,@Demcd3,Non Power Five Conference,1,1,1
183,Nazar Bombata,University of Arizona,Football,Barstool Sports,1,kinggg_naz,@KingNaz10,Pac-12,1,1,0
184,Joe Tyler,San Diego State University,Tennis,Barstool Sports,1,joe_tyler98,@JoeyMMT,Non Power Five Conference,1,1,1
185,Deshaun Highler,"California State University, Sacramento",Basketball,[],0,deshaun,,Non Power Five Conference,1,0,1
186,Gervon Dexter,University of Florida,Football,[],0,major_vonn,,Southeastern Conference,1,0,0
187,Derek Wingo,University of Florida,Football,Barstool Sports,1,derekwingo,@DerekWingo,Southeastern Conference,1,1,0
188,Jaden Abas,Stanford University,Wrestling,"['Barstool Sports', 'Obsesh Media Inc']",2,thejadenabas,@AbasJaden,Pac-12,1,1,0
189,Ja'Quain Blakely,University of Tennessee,Football,[],0,the_real48,@BlakelyJay,Southeastern Conference,1,1,0
190,Max Agbonkpolo,University of Southern California,Basketball,Barstool Sports,1,themaxpolo,@maxpolo15,Pac-12,1,1,0
191,Annie Bagnall,Siena College,Soccer,"['Barstool Sports', 'Barstool Sports']",2,annie.bagnall,@annie_bagnall,Non Power Five Conference,1,1,1
192,Nate Laszewski,University of Notre Dame,Basketball,[],0,nlaszewski_14,@natelaszewski,Atlantic Coast Conference,1,1,0
193,Grant Basile,Wright State University,Basketball,Barstool Sports,1,grantbasile,@GBasile00,Non Power Five Conference,1,1,1
194,Kyle McCord,The Ohio State University,Football,[],0,kam.6,,Big 10,1,0,0
195,Sevyn Banks,The Ohio State University,Football,[],0,7banks_,,Big 10,1,0,0
196,Meechie Johnson Jr.,The Ohio State University,Basketball,[],0,meechie.1,,Big 10,1,0,0
197,Jimmy Sotos,The Ohio State University,Basketball,[],0,jsotos1,,Big 10,1,0,0
198,Kendall Whitman,George Washington University,Gymnastics,Barstool Sports,1,kendallwhitmann,@kendallwhitmann,Non Power Five Conference,1,1,1
199,Cam Johnson,Vanderbilt University,Football,[],0,camjohnson_,,Southeastern Conference,1,0,0
200,Chandler Martin,East Tennessee State University,Football,[],0,,,Non Power Five Conference,0,0,1
201,Chloe Dupuis,East Tennessee State University,Volleyball,[],0,chloe__dupuis,,Non Power Five Conference,1,0,1
202,Gavyn Dingle,"California State University, Bakersfield",Track and Field,Barstool Sports,1,iamgavyn,@iamgavyn,Non Power Five Conference,1,1,1
203,Tanner Smith,University of Oregon,Baseball,Barstool Sports,1,tanner.smith,@tannerr_smith,Pac-12,1,1,0
204,Bennett Williams,University of Oregon,Football,Barstool Sports,1,bennettw4_08,@bennettw04,Pac-12,1,1,0
205,Maddie Scherr,University of Oregon,Basketball,[],0,maddiescherr,,Pac-12,1,0,0
206,Dennis Barnes,University of Texas at El Paso,Football,Barstool Sports,1,tdbxiii,@tdbxiii,Non Power Five Conference,1,1,1
207,Marquis Ward,Marquette University,Track and Field,"['Barstool Sports', 'Barstool Sports']",2,marquis_ward15,@marquis_ward,Non Power Five Conference,1,1,1
208,Bijan Robinson,University of Texas at Austin,Football,Raising Canes,1,,,Big 12,0,0,0
209,Paytin Mercado,Southern University,Softball,"['Personal Corner', 'Too Faced Cosmetics']",2,,,Non Power Five Conference,0,0,1
210,Justin Rigg,University of Kentucky,Football,Barstool Sports,1,justinrigg83,@justinrigg83,Southeastern Conference,1,1,0
211,Joshua Green,University of South Florida,Football,[],0,J6reen._,,Non Power Five Conference,1,0,1
212,Azzia MacDonald,Seattle University,Volleyball,Barstool Sports,1,azziamac,,Non Power Five Conference,1,0,1
213,Tiler Noyola,Texas A&M University - Corpus Christi,Softball,Barstool Sports,1,tilerrnoyolaa,@tiler_noyola,Non Power Five Conference,1,1,1
214,Nana Akenten,Southeast Missouri State University,Basketball,[],0,__hoop_dreams,,Non Power Five Conference,1,0,1
215,Kyley Bolster,Winona State University,Tennis,"['Bubblr', 'Liquid I.V.']",2,,,Non Power Five Conference,0,0,1
216,Aaron Robinson,University of Central Florida,Baseball,"['Barstool Sports', 'Celsius']",2,,,Non Power Five Conference,0,0,1
217,Dylan Decker,High Point University,Baseball,Barstool Sports,1,dylandeck55,@Dylan_Decker5,Non Power Five Conference,1,1,1
218,Ashlyn McGovern,University of Virginia,Lacrosse,Barstool Sports,1,ashlynmcgovern,@ashlynmcgovern_,Atlantic Coast Conference,1,1,0
